Designator,Center-X(mm),Center-Y(mm),Layer,Rotation
C1,58.928,54.356,TopLayer,270
C2,60.96,54.61,TopLayer,270
C3,46.99,48.514,TopLayer,270
C4,52.832,49.53,TopLayer,0
C5,65.786,50.038,TopLayer,180
C6,66.802,46.99,TopLayer,180
C7,51.308,43.688,TopLayer,90
C8,53.594,43.688,TopLayer,90
C9,58.42,42.418,TopLayer,90
C10,60.706,42.418,TopLayer,90
C11,91.746,14.468,TopLayer,270
C12,13.5,92,TopLayer,180
C13,26,91.5,TopLayer,270
C14,19.558,6.858,TopLayer,90
C15,24.384,6.858,TopLayer,270
C16,37.338,8.89,TopLayer,270
C17,59.69,8.89,TopLayer,0
C18,49.022,25.908,TopLayer,90
C19,40.386,26.67,TopLayer,90
C20,76.962,59.69,TopLayer,0
C21,81.178,55.894,TopLayer,0
C22,79.756,63.246,TopLayer,270
C23,83.678,62.894,TopLayer,270
C24,77.178,54.894,TopLayer,90
C25,86.36,58.166,TopLayer,90
C26,74.178,59.294,TopLayer,270
C27,80.853,69.894,TopLayer,180
C28,70.866,62.23,TopLayer,270
C29,35.891,55.372,TopLayer,180
C30,80.01,67.31,TopLayer,180
C31,72.136,72.644,TopLayer,270
C32,36.2739,48.324,TopLayer,180
C33,77.178,72.894,TopLayer,90
C34,82.476,26.952,TopLayer,270
C35,36.2779,45.102,TopLayer,180
C36,76.976,27.852,TopLayer,270
C37,90.932,48.514,TopLayer,90
C38,90.318,33.722,TopLayer,180
C39,84.836,31.75,TopLayer,180
C40,84.776,39.238,TopLayer,0
C41,78.486,39.116,TopLayer,270
C42,81.28,87.884,TopLayer,0
C43,89.662,88.392,TopLayer,0
C44,91.186,62.23,TopLayer,90
C45,76.2,87.122,TopLayer,270
C46,89.674,81.788,TopLayer,0
C47,86.36,87.63,TopLayer,270
C48,56.388,88.138,TopLayer,0
C49,72.644,80.01,TopLayer,90
C50,66.548,80.264,TopLayer,90
C51,76.2,80.518,TopLayer,90
C52,69.596,80.01,TopLayer,270
C53,53.34,77.978,TopLayer,180
C54,57.404,81.264,TopLayer,90
C55,50.673,90.678,TopLayer,180
D1,46.99,50.658,TopLayer,180
D2,12.954,10.414,TopLayer,0
D3,92.71,87.995,TopLayer,270
FL1,90.678,58.42,TopLayer,0
FL2,92.677,72.39,TopLayer,270
FL3,62.238,84.328,TopLayer,180
IC1,59.436,48.514,TopLayer,0
IC3,41.402,7.874,TopLayer,0
IC4,74.128,68.144,TopLayer,180
IC5,78.8744,33.9159,TopLayer,180
L1,89.246,11.468,TopLayer,270
L2,18,95,TopLayer,0
L3,47.706,7.82,TopLayer,270
L4,76.8405,63.394,TopLayer,180
L5,76.678,57.894,TopLayer,0
L6,83.566,58.42,TopLayer,90
L7,74.178,63.394,TopLayer,180
L8,74.678,72.894,TopLayer,180
L9,79.476,28.452,TopLayer,180
L10,80.976,39.238,TopLayer,180
L11,81.28,84.328,TopLayer,0
L12,88.9,85.09,TopLayer,90
L13,63.754,80.01,TopLayer,90
L14,60.452,80.264,TopLayer,180
L15,54.61,80.264,TopLayer,180
L16,57.1102,90.655,TopLayer,0
LED1,57.834,69.044,TopLayer,270
LED2,53.086,69.596,TopLayer,270
LED3,48.12,69.302,TopLayer,270
LED4,35.052,92.456,TopLayer,0
LED5,61.976,3.302,TopLayer,0
LED6,52.832,21.59,TopLayer,270
R1,57.8358,64.8716,TopLayer,270
R2,44.45,49.022,TopLayer,270
R3,53.0606,64.9478,TopLayer,270
R4,48.1076,65.3542,TopLayer,270
R5,53,56.4,TopLayer,270
R6,47.498,53.086,TopLayer,90
R7,42.037,52.959,TopLayer,180
R8,89.246,14.468,TopLayer,90
R9,18.288,97.79,TopLayer,180
R10,30.099,92.5068,TopLayer,180
R11,25.146,13.462,TopLayer,180
R12,59.69,5.8166,TopLayer,180
R13,19.558,10.414,TopLayer,270
R14,27.432,10.414,TopLayer,0
R15,52.7558,26.162,TopLayer,90
R16,40.141,55.372,TopLayer,180
R17,84.353,69.894,TopLayer,180
R18,40.2739,48.324,TopLayer,180
R19,40.5279,45.102,TopLayer,180
R20,93.968,33.722,TopLayer,180
U1,17.526,91.186,TopLayer,90
U2,23.368,10.414,TopLayer,180
U3,44.831,26.035,TopLayer,0
U4,61.7093,88.658,TopLayer,0
Y1,93.726,51.816,TopLayer,90
