Comment,Designator,Footprint,JLCPCB Part #,Quantity,Footprint,JLCPCB Part #
"100nF, 16V","C1, C2, C3, C4, C5, C6, C8, C9, C10, C14, C31, C37, C41",0603,C14663,13,,
1uF,"C7, C18, C19, C30, C39",0805,C28323,5,,
"10nF, 10nF, 16V","C11, C52",0603,C57112,2,,
"10uF, 6.3V",C12,0603,C19702,1,,
"22uF, 6.3V","C13, C15",0805,C45783,2,,
"4.7uF, 16V","C16, C51",0805,C1779,2,,
"10uF, 6V3",C17,0805,C15850,1,,
3.3pF,"C20, C45, C46",0603,C46219,3,,
"39pF, 5%",C21,0603,C1658,1,,
"47nF, 10%",C22,0402,C307434,1,,
"47pF, 5%",C23,0603,C1658,1,,
5.6pF,C24,0603,C37474,1,,
2.2pF,C25,0603,C46219,1,,
3.6pF,"C26, C28, C34, C36",0402,C1565,4,,
"10pF, 1%","C27, C38, C54",0805,C1792,3,,
"56pF, 5%","C29, C32, C35, C43, C44, C48",0603,C39148,6,,
470nF,"C33, C40",0603,C1623,2,,
1.5pF,C42,0402,C1552,1,,
2.7pF,C47,0805,C1803,1,,
"1nF, 50V",C49,0603,C1588,1,,
"100pF, 2%","C50, C55",0805,C1790,2,,
1.2pF,C53,0603,C46219,1,,
BAT54XV2T1G,D1,SOD-523,C81572,1,,
TVS0500DRVR,D2,WSON-6,C609571,1,,
SZESD7471N2T5G,D3,X-DFN-2,C896560,1,,
B39871B4377P810,"FL1, FL2, FL3",5-SMD,B39871B4377P810,3,,
SX1302IMLTRT,IC1,QFN-68(7x7),C5143595,1,,
TPS62207DBVR,IC3,SOT-23-5,C398350,1,,
SX1250IMLTRT,"IC4, IC5",QFN-24-EP(4x4),C1844931,2,,
27nH,L1,0402,C27143,1,,
"1uH, 2.5A",L2,SMD,C389568,1,,
"10uH, 1.7A",L3,"SMD,4.2x4.2mm",C1329533,1,,
"47nH, 0.29R",L4,0603,C98076,1,,
"2.5nH, 0.05R",L5,0402,C237342,1,,
"4.7nH, 0.07R",L6,0402,C14033,1,,
"12nH, 0.071R","L7, L9",0603,C304266,2,,
"15uH, 0.32A, 28MHz","L8, L10",0805,C223173,2,,
5.6nH,"L11, L12",0603,C341789,2,,
6.8nH,L13,0402,C113119,1,,
3nH,L14,0201,C2041469,1,,
7.5nH,L15,0603,C98084,1,,
"1.2nH, 0.12R",L16,0402,C275321,1,,
SML-D12M1WT86,LED1,LED_0603,C2290,1,,
GREEN,LED2,LED_0805,C2296,1,,
VLMB1300-GS08,LED3,LED_0603,C2290,1,,
RED,"LED4, LED5, LED6",LED_0805,C2296,3,,
680R,"R1, R3, R4, R10, R12, R15",0805,C17798,6,,
ERJ-3EKF10R0V,"R2, R8",0603,C22859,2,,
RMCF0805JT47K0,"R5, R6, R7",0805,C17713,3,,
"178k, 1/16W",R9,0603,C22827,1,,
300k,"R11, R13",0805,C17616,2,,
CRCW080533K0FKEA,R14,0805,C17633,1,,
ERJ-6ENF1001V,"R16, R18, R19",0805,C17513,3,,
ERJ-3EKF2200V,"R17, R20",0603,C22962,2,,
TPS62082DSGR,U1,WSON-8-EP(2x2),C485809,1,,
TPS25200DRVT,U2,WSON-6(2x2),C2653855,1,,
TLV70233DBVT,U3,SOT-23-5,C110287,1,,
SKY66420-11,U4,16-SMD(3x3),SKY66420-11,1,,
ECS-TXO-25CSMV-320-DY-TR,Y1,4-SMD,ECS-TXO-25CSMV-320-DY-TR,1,,
